country,score_2016,rank_2016,score_2017,rank_2017,score_2018,rank_2018,score_2019,rank_2019,score_2020,rank_2020
Afghanistan,3.36,154,3.794,141,3.632,145,3.203,154,2.567,153
Albania,4.655,109,4.644,109,4.586,112,4.719,107,4.883,105
Algeria,6.355,38,5.872,53,5.295,84,5.211,88,5.005,100
Angola,3.866,141,3.795,140,3.795,142,,,,
Argentina,6.65,26,6.599,24,6.388,29,6.086,47,5.975,55
Armenia,4.36,121,4.376,121,4.321,129,4.559,116,4.677,116
Australia,7.313,9,7.284,9,7.272,10,7.228,11,7.223,12
Austria,7.119,12,7.006,13,7.139,12,7.246,10,7.294,9
Azerbaijan,5.291,81,7.342,85,5.201,87,5.208,90,5.165,89
Bahrain,6.218,42,6.087,41,6.105,43,6.199,37,6.227,40
Bangladesh,4.643,110,4.608,110,4.5,115,4.456,125,4.833,107
Belarus,5.802,61,5.569,67,5.483,73,5.323,81,5.54,75
Belgium,6.929,18,6.891,17,6.927,16,6.923,18,6.864,20
Belize,5.956,52,5.956,50,5.956,49,,,,
Benin,3.484,153,3.657,143,4.141,136,4.883,102,5.216,86
Bhutan,5.196,84,5.011,97,5.082,97,5.082,95,,
Bolivia,5.822,59,5.823,58,5.752,62,5.779,61,5.747,65
Bosnia and Herzegovina,5.163,87,5.182,90,5.129,93,5.386,78,5.674,69
Botswana,3.974,137,3.766,142,3.59,146,3.488,148,3.479,147
Brazil,6.952,17,6.635,22,6.419,28,6.3,32,6.376,32
Bulgaria,4.217,129,4.714,105,4.933,100,5.011,97,5.102,96
Burkina Faso,3.739,145,4.032,134,4.424,121,4.587,115,4.769,112
Burundi,2.905,157,2.905,154,2.905,156,3.775,145,3.775,140
Cambodia,3.907,140,4.168,129,4.433,120,4.7,109,4.848,106
Cameroon,4.513,114,4.695,107,4.975,99,5.044,96,5.085,98
Canada,7.404,6,7.316,7,7.328,7,7.278,9,7.232,11
Chad,3.763,144,3.936,137,4.301,131,4.35,132,4.423,127
Chile,6.705,24,6.652,20,6.476,25,6.444,26,6.228,39
China,5.245,83,5.273,79,5.246,86,5.191,93,5.124,94
Colombia,6.481,31,6.357,36,6.26,37,6.125,43,6.163,44
Comoros,3.956,138,,,,,3.973,142,4.289,134
Costa Rica,7.087,14,7.079,12,7.072,13,7.167,12,7.121,15
Croatia,5.488,74,5.293,77,5.321,82,5.432,75,5.505,79
Cyprus,5.546,69,5.621,65,5.762,61,6.046,49,6.159,45
Czech Republic,6.596,27,6.609,23,6.711,21,6.852,20,6.911,19
Democratic Republic of the Congo,4.236,127,4.28,126,4.245,132,4.418,127,4.311,131
Denmark,7.526,1,7.522,2,7.555,3,7.6,2,7.646,2
Dominican Republic,5.155,89,5.23,86,5.302,83,5.425,77,5.689,68
Ecuador,5.976,51,6.008,44,5.973,48,6.028,50,5.925,58
Egypt,4.362,120,4.735,104,4.419,122,4.166,137,4.151,138
El Salvador,6.068,46,6.003,45,6.167,40,6.253,35,6.348,34
Estonia,5.517,72,5.611,66,5.739,63,5.893,55,6.022,51
Ethiopia,4.508,115,4.46,119,4.35,127,4.286,134,4.186,136
Finland,7.413,5,7.469,5,7.632,1,7.769,1,7.809,1
France,6.478,32,6.442,31,6.489,23,6.592,24,6.664,23
Gabon,4.121,134,4.465,118,4.758,103,4.799,104,4.829,108
Gambia,,,,,,,4.516,120,4.751,113
Georgia,4.252,126,4.286,125,4.34,128,4.519,119,4.673,117
Germany,6.994,16,6.951,16,6.965,15,6.985,17,7.076,17
Ghana,4.276,124,4.12,131,4.657,108,4.996,98,5.148,91
Greece,5.033,99,5.227,87,5.358,79,5.287,82,5.515,77
Guatemala,6.324,39,6.454,29,6.382,30,6.436,27,6.399,29
Guinea,3.607,151,3.507,149,3.964,140,4.534,118,4.949,102
Haiti,4.028,136,3.603,145,3.582,148,3.597,147,3.721,142
Honduras,4.871,104,5.181,91,5.504,72,5.86,59,5.953,56
Hong Kong,5.458,75,5.472,71,5.43,76,5.43,76,5.51,78
Hungary,5.145,91,5.324,75,5.62,69,5.758,62,6,53
Iceland,7.501,3,7.504,3,7.495,4,7.494,4,7.504,4
India,4.404,118,4.315,122,4.19,133,4.015,140,3.573,144
Indonesia,5.314,79,5.262,81,5.093,96,5.192,92,5.286,84
Iran,4.813,105,4.692,108,4.707,106,4.548,117,4.672,118
Iraq,4.575,112,4.497,117,4.456,117,4.437,126,4.785,110
Ireland,6.907,19,6.977,15,6.977,14,7.021,16,7.094,16
Israel,7.267,11,7.213,11,6.814,19,7.139,13,7.129,14
Italy,5.977,50,5.964,48,6,47,6.223,36,6.387,30
Ivory Coast,3.916,139,4.18,128,4.671,107,4.944,99,5.233,85
Jamaica,5.51,73,5.311,76,5.89,56,5.89,56,5.89,60
Japan,5.921,53,5.92,51,5.915,54,5.886,58,5.871,62
Jordan,5.303,80,5.336,74,5.161,90,4.906,101,4.633,119
Kazakhstan,5.919,54,5.819,60,5.79,60,5.809,60,6.058,50
Kenya,4.356,122,4.553,112,4.41,124,4.509,121,4.583,121
Kosovo,5.401,77,5.279,78,5.662,66,6.1,46,6.325,35
Kuwait,6.239,41,6.105,39,6.083,45,6.011,51,6.102,48
Kyrgyzstan,5.185,85,5.004,98,5.131,92,5.261,86,5.542,74
Laos,4.876,102,,,4.623,110,4.796,105,4.889,104
Latvia,5.56,68,5.85,54,5.933,53,5.94,53,5.95,57
Lebanon,5.129,93,5.225,88,5.358,80,5.197,91,4.772,111
Lesotho,,,3.808,139,3.808,141,3.802,144,3.653,143
Liberia,3.622,150,3.533,148,3.495,149,3.975,141,4.558,124
Libya,5.615,67,5.525,68,5.566,70,5.525,72,5.489,80
Lithuania,5.813,60,5.902,52,5.952,50,6.149,42,6.215,41
Luxembourg,6.871,20,6.863,18,6.91,17,7.09,14,7.238,10
Macedonia,5.121,95,5.175,92,5.185,89,5.274,84,5.16,90
Madagascar,3.695,148,3.644,144,3.774,143,3.933,143,4.166,137
Malawi,4.156,132,3.97,136,3.587,147,3.41,150,3.538,145
Malaysia,6.005,47,6.084,42,6.322,35,5.339,80,5.384,82
Maldives,,,,,,,,,5.198,87
Mali,4.073,135,4.19,127,4.447,118,4.39,128,4.729,114
Malta,6.488,30,6.527,27,6.627,22,6.726,22,6.773,22
Mauritania,4.201,130,4.292,123,4.356,126,4.49,122,4.375,129
Mauritius,5.648,66,5.629,64,5.891,55,5.888,57,6.101,49
Mexico,6.778,21,6.578,25,6.488,24,6.595,23,6.465,24
Moldova,5.897,55,5.838,55,5.64,67,5.529,71,5.608,70
Mongolia,4.907,101,4.955,100,5.125,94,5.285,83,5.456,81
Montenegro,5.161,88,5.237,83,5.347,81,5.523,73,5.546,72
Morocco,5.151,90,5.235,84,5.254,85,5.208,89,5.095,97
Mozambique,,,4.55,113,4.417,123,4.466,123,4.624,120
Myanmar,4.395,119,4.545,114,4.308,130,4.36,131,4.308,133
Namibia,4.574,113,4.574,111,4.441,119,4.639,113,4.571,122
Nepal,4.793,107,4.962,99,4.88,101,4.913,100,5.137,92
Netherlands,7.339,7,7.377,6,7.441,6,7.488,5,7.449,6
New Zealand,7.334,8,7.314,8,7.324,8,7.307,8,7.3,8
Nicaragua,5.992,48,6.071,43,6.141,41,6.105,45,6.137,46
Niger,3.856,142,4.028,135,4.166,134,4.628,114,4.91,103
Nigeria,4.875,103,5.074,95,5.155,91,5.265,85,4.724,115
Northern Cyprus,5.771,62,5.81,61,5.835,58,5.718,64,5.536,76
Norway,7.498,4,7.537,1,7.594,2,7.554,3,7.488,5
Pakistan,5.132,92,5.269,80,5.472,75,5.653,67,5.693,66
Palestine,4.754,108,4.775,103,4.743,104,4.696,110,4.553,125
Panama,6.701,25,6.452,30,6.43,27,6.321,31,6.305,36
Paraguay,5.538,70,5.493,70,5.681,64,5.743,63,5.692,67
Peru,5.743,64,5.715,63,5.663,65,5.697,65,5.797,63
Philippines,5.279,82,5.43,72,5.524,71,5.631,69,6.006,52
Poland,5.835,57,5.973,46,6.123,42,6.182,40,6.186,43
Portugal,5.123,94,5.195,89,5.41,77,5.693,66,5.911,59
Puerto Rico,7.039,15,,,,,,,,
Qatar,6.375,36,6.375,35,6.374,32,6.374,29,,
Republic of Congo,4.272,125,4.291,124,4.559,114,4.812,103,5.194,88
Romania,5.528,71,5.825,57,5.945,52,6.07,48,6.124,47
Russia,5.856,56,5.963,49,5.81,59,5.648,68,5.546,73
Rwanda,3.515,152,3.471,151,3.408,151,3.334,152,3.312,150
Saudi Arabia,6.379,34,6.344,37,6.371,33,6.375,28,6.406,27
Senegal,4.219,128,4.535,115,4.631,109,4.681,111,4.981,101
Serbia,5.177,86,5.395,73,5.398,78,5.603,70,5.778,64
Sierra Leone,4.635,111,4.709,106,4.571,113,4.374,129,3.926,139
Singapore,6.739,22,6.572,26,6.343,34,6.262,34,6.377,31
Slovakia,6.078,45,6.098,40,6.173,39,6.198,38,6.281,37
Slovenia,5.768,63,5.758,62,5.948,51,6.118,44,6.363,33
Somalia,5.44,76,5.151,93,4.982,98,4.668,112,,
Somaliland region,5.057,97,,,,,,,,
South Africa,4.459,116,4.829,101,4.724,105,4.722,106,4.814,109
South Korea,5.835,58,5.838,56,5.875,57,5.895,54,5.872,61
South Sudan,3.832,143,3.591,147,3.254,154,2.853,156,2.817,152
Spain,6.361,37,6.403,34,6.31,36,6.354,30,6.401,28
Sri Lanka,4.415,117,4.44,120,4.471,116,4.366,130,4.327,130
Sudan,4.139,133,4.139,130,4.139,137,,,,
Suriname,6.269,40,,,,,,,,
Swaziland,,,,,,,4.212,135,4.308,132
Sweden,7.291,10,7.284,10,7.314,9,7.343,7,7.353,7
Switzerland,7.509,2,7.494,4,7.487,5,7.48,6,7.56,3
Syria,3.069,156,3.462,152,3.462,150,3.462,149,,
Taiwan,6.379,35,6.422,33,6.441,26,6.446,25,6.455,25
Tajikistan,4.996,100,5.041,96,5.199,88,5.467,74,5.556,71
Thailand,6.474,33,6.424,32,6.072,46,6.008,52,5.999,54
Togo,3.303,155,3.495,150,3.999,139,4.085,139,4.187,135
Trinidad and Tobago,6.168,43,6.168,38,6.192,38,6.192,39,6.192,42
Tunisia,5.045,98,4.805,102,4.592,111,4.461,124,4.392,128
Turkey,5.389,78,5.5,69,5.483,74,5.373,79,5.132,93
Turkmenistan,5.658,65,5.822,59,5.636,68,5.247,87,5.119,95
Uganda,3.739,146,4.081,133,4.161,135,4.189,136,4.432,126
Ukraine,4.324,123,4.096,132,4.103,138,4.332,133,4.561,123
United Arab Emirates,6.573,28,6.648,21,6.774,20,6.825,21,6.791,21
United Kingdom,6.725,23,6.714,19,7.19,11,7.054,15,7.165,13
United Republic of Tanzania,3.666,149,3.349,153,3.303,153,3.231,153,3.476,148
United States of America,7.104,13,6.993,14,6.886,18,6.892,19,6.94,18
Uruguay,6.545,29,6.454,28,6.379,31,6.293,33,6.44,26
Uzbekistan,5.987,49,5.971,47,6.096,44,6.174,41,6.258,38
Venezuela,6.084,44,5.25,82,4.806,102,4.707,108,5.053,99
Vietnam,5.061,96,5.074,94,5.103,95,5.175,94,5.353,83
Yemen,3.724,147,3.593,146,3.355,152,3.38,151,3.527,146
Zambia,4.795,106,4.514,116,4.377,125,4.107,138,3.759,141
Zimbabwe,4.193,131,3.875,138,3.692,144,3.663,146,3.299,151